All,Acronym,Meaning,Definition
PPT Pelagic Fishery Ecosystem Plan Team,PPT,Pelagic Fishery Ecosystem Plan Team,
PRIA Pacific Remote Island Areas,PRIA,Pacific Remote Island Areas,
RFMA Regional Fishery Management Agreements,RFMA,Regional Fishery Management Agreements,
RFMO Regional Fishery Management Organization,RFMO,Regional Fishery Management Organization,
RIMPAC Rim of the Pacific,RIMPAC,Rim of the Pacific,
RPB Regional Planning Body,RPB,Regional Planning Body,
ROD Record of Decision,ROD,Record of Decision,
SA Spawning Abundance,SA,Spawning Abundance,
SAMSY Spawning Abundance at MSY,SAMSY,Spawning Abundance at MSY,
SAFE Stock Assessment and Fishery Evaluation,SAFE,Stock Assessment and Fishery Evaluation,
SAR Stock Assessment Report,SAR,Stock Assessment Report,
SB Spawning Biomass,SB,Spawning Biomass,
SBMSY Spawning Biomass at MSY,SBMSY,Spawning Biomass at MSY,
SC Standing Committee of the Western and Central Pacific Fisheries Commission,SC,Standing Committee of the Western and Central Pacific Fisheries Commission,
,,,
SDC Status Determination Criteria,SDC,Status Determination Criteria,
SEIS Supplemental Environmental Impact Statement,SEIS,Supplemental Environmental Impact Statement,
"SEZ Southern Exclusion Zone, Hawaii",SEZ,"Southern Exclusion Zone, Hawaii",
SFA Saipan Fishermen's Association,SFA,Saipan Fishermen's Association,
"SFD Sustainable Fisheries Division, NMFS PIRO",SFD,"Sustainable Fisheries Division, NMFS PIRO",
SFM Shortfin Mako shark,SFM,Shortfin Mako shark,
"SHARKWG Shark Working Group, ISC",SHARKWG,"Shark Working Group, ISC",
"SPC Secretariat of the Pacific Community. A technical assistance organization comprising the independent island states of the tropical Pacific Ocean, dependent territories and the metropolitan countries of Australia, New Zealand, USA, and France; now Pacific Community",SPC,Secretariat of the Pacific Community,"A technical assistance organization comprising the independent island states of the tropical Pacific Ocean, dependent territories and the metropolitan countries of Australia, New Zealand, USA, and France; now Pacific Community"
,,,
,,,
,,,
SPR Spawning Potential Ratio. A term for a method to measure the effects of fishing pressure on a stock by expressing the spawning potential of the fished biomass as a percentage of the unfished virgin spawning biomass. Stocks are deemed to be overfished when the SPR<20%.,SPR,Spawning Potential Ratio,A method to measure the effects of fishing pressure on a stock by expressing the spawning potential of the fished biomass as a percentage of the unfished virgin spawning biomass. Stocks are deemed to be overfished when the SPR<20%.
,,,
,,,
,,,
SSB Spawning Stock Biomass,SSB,Spawning Stock Biomass,
SSBMSY Spawning Stock Biomass at MSY,SSBMSY,Spawning Stock Biomass at MSY,
"SSC Scientific and Statistical Committee, an advisory body to the Council comprising experts in fisheries, marine biology, oceanography, etc.",SSC,Scientific and Statistical Committee,"An advisory body to the Council comprising experts in fisheries, marine biology, oceanography, etc."
,,,
SST Sea Surface Temperature,SST,Sea Surface Temperature,
STD Standard Deviation,STD,Standard Deviation,
STF Subtropical Front,STF,Subtropical Front,
SWAC Seawater Air Conditioning,SWAC,Seawater Air Conditioning,
SWG Spatial Working Group,SWG,Spatial Working Group,
SWO Swordfish,SWO,Swordfish,
TA Total Alkalinity,TA,Total Alkalinity,
TRP Target Reference Point,TRP,Target Reference Point,
TZCF Transition Zone Chlorophyll Front,TZCF,Transition Zone Chlorophyll Front,
US United States,US,United States,
USAF United States Air Force,USAF,United States Air Force,
USACE United States Army Corps of Engineers,USACE,United States Army Corps of Engineers,
"USFWS United States Fish and Wildlife Service, Department of Interior",USFWS,"United States Fish and Wildlife Service, Department of Interior",
V-A Vietnamese-American,V-A,Vietnamese-American,
WCNPO Western and Central North Pacific Ocean,WCNPO,Western and Central North Pacific Ocean,
WCPFCA Western and Central Pacific Fisheries Commission Convention Area,WCPFCA,Western and Central Pacific Fisheries Commission Convention Area,
WCPFC Western and Central Pacific Fisheries Commission,WCPFC,Western and Central Pacific Fisheries Commission,
WCPO Western and Central Pacific Ocean,WCPO,Western and Central Pacific Ocean,
WETS Wave Energy Test Site,WETS,Wave Energy Test Site,
"WPacFIN Western Pacific Fishery Information Network, NMFS",WPacFIN,"Western Pacific Fishery Information Network, NMFS",
WPFMC Western Pacific Regional Fishery Management Council,WPFMC,Western Pacific Regional Fishery Management Council,
WPUE Weight per Unit Effort,WPUE,Weight per Unit Effort,
WSEP Weapon Systems Evaluation Program,WSEP,Weapon Systems Evaluation Program,
XBT Expendable Bathythermographs,XBT,Expendable Bathythermographs,
