Acronym,Meaning,Definition
NSG,National Standards Guidelines,"Guidelines issued by National Marine Fisheries Service to provide comprehensive guidance for the development of fishery management plans and amendments that comply with the national standards of the Magnuson-Stevens Act. These guidelines are found in Title 50, Code of Federal Regulations, part 600."
NWFSC,Northwest Fisheries Science Center,In Seattle; a division of NMFS
NWIFC,Northwest Indian Fisheries Commission,
NWR,Northwest Region,
OA,Open-access fishery,The segment of the groundfish fishery or any other fishery for which entry is not controlled by a limited entry permitting program.
,Oceanic,"Inhabiting the open sea, ranging beyond the continental and insular shelves, beyond the neritic zone."
OCN,Oregon coastal natural (coho),
OCNMS,Olympic Coast National Marine Sanctuary,
OCZMA,Oregon Coast Zone Management Act,
ODFW,Oregon Department of Fish and Wildlife,
OFL,Overfishing limit,
OLE,Office of Law Enforcement (NOAA Fisheries),
OMB,Office of Management and Budget,
,,
,,
OR,Oregon,
OSP,"Optimum sustainable production, Oregon State Police",
OSU,Oregon State University,
,Overcapacity,A level of fishing pressure that threatens to reduce a stock or complex below the abundance necessary to support maximum sustainable yield and allow an economically sustainable fishing industry.
,Overfished,"Any stock or stock complex whose size is sufficiently small that a change in management practices is required to achieve an appropriate level and rate of rebuilding. The term generally describes any stock or stock complex determined to be below its overfished/rebuilding threshold. The default proxy is generally 25% of its estimated unfished biomass; however, other scientifically valid values are also authorized."
,Overfishing,"Fishing at a rate or level that jeopardizes the capacity of a stock or stock complex to produce MSY on a continuing basis. More specifically, overfishing is defined as exceeding a maximum allowable fishing mortality rate. For any groundfish stock or stock complex, the maximum allowable mortality rate will be set at a level not to exceed the corresponding MSY rate (FMSY) or its proxy."
OY,Optimum yield,"The amount of fish that will provide the greatest overall benefit to the Nation, particularly with respect to food production and recreational opportunities, and taking into account the protection of marine ecosystems. The OY is developed on the basis of the Maximum Sustained Yield from the fishery, taking into account relevant economic, social, and ecological factors. In the case of overfished fisheries, the OY provides for rebuilding to a level that is consistent with producing the Maximum Sustained Yield for the fishery."
P*,Probability of overfishing,
PacFIN,Pacific Coast Fisheries Information Network,"Provides commercial fishery information for Washington, Oregon, and California. Maintained by the Pacific States Marine Fisheries Commission."
,,
PST,Pacific Salmon Treaty,"Created in 1985 through cooperative efforts of tribes, state governments, U.S. and Canadian governments, and sport and commercial fishing interests. The Pacific Salmon Commission (PSC) was created to implement the treaty. The PSC establishes fishery and allocation regimes, develops management recommendations and is a forum for working on fishery issues."
,,
PBR,Potential biological removal,"The maximum number of animals, not including natural mortalities, that may be removed from a marine mammal stock while allowing that stock to reach or maintain its optimum sustainable population."
PCFFA,Pacific Coast Federation of Fishermen's Associations,
PDF,Probability density function,
PDO,Pacific decadal oscillation,"A long-term, El Nino-like pattern of Pacific Ocean climate variability."
PEIS,Programmatic Environmental Impact Statement,"An EIS that applies to an entire program or management regime, rather than a specific action."
,Pelagic,"Inhabiting the water column, as opposed to being associated with the sea floor; generally occurring anywhere from the surface to 1000 meters (547 fm). See also epipelagic and mesopelagic."
,Permit stacking,"The registration of more than one limited entry permit for a single vessel, where a vessel is allowed additional catch for each additional permit registered for use with the vessel."
PFMC,Pacific Fishery Management Council,
PIE rule,Program Improvements and Enhancements rule,
PMAX,,The estimated probability of reaching TMAX. May not be less than 50%.
PNW,Pacific Northwest,
POP,Pacific ocean perch,
PPA,Preliminary preferred alternative,
PRA,Paperwork Reduction Act,
,Preferred alternative,"The alternative that is identified as preferred by the authors of an environmental impact statement or environmental assessment. It is identified to indicate which alternative is likely to be selected, thereby helping the public focus its comments."
,Processing,"The preparation or packaging of fish to render it suitable for human consumption, retail sale, industrial uses, or long-term storage, including but not limited to cooking, canning, smoking, salting, drying, filleting, freezing, or rendering into meal or oil, but not heading and gutting unless additional preparation is done."
,Proposed alternatives,"Alternatives proposed by the Council for a proposed management action (such as annual management specifications). The alternatives are presented to the public for comment, and are voted upon at a subsequent Council meeting. The options always include a ""status quo"" alternative (for example the current season's ABCs and OYs)."
PSC,Pacific Salmon Commission,
PSMFC,Pacific States Marine Fisheries Commission,"The PSMFC is a non-regulatory agency that serves Alaska, California, Idaho, Oregon and Washington. PSMFC (headquartered in Portland) provides a communication exchange between the Pacific Fishery Management Council and the North Pacific Fishery Management Council, and a mechanism for Federal funding of regional fishery projects. The PSMFC provides information in the form of data services for various fisheries."
PST,Pacific Salmon Treaty,
QP,Quota pounds,
QS,Quota share,"A share of the Total Allowable Catch (TAC) allocated to an operating unit such as a vessel, a company or an individual fisherman (individual quota) depending on the system of allocation. Quotas may or may not be transferable, inheritable, and tradable. While generally used to allocate total allowable catch, quotas could be used also to allocate fishing effort or biomass."
,Quota,"A specified numerical harvest objective, the attainment (or expected attainment) of which causes closure of the fishery for that species or species group."
,,
RCA,"Rockfish Conservation Area, riparian conservation area",
,Rebuilding,Implementing management measures that increase a fish stock to its target size.
,Rebuilding analysis,An analysis that uses biological information to describe the probability that a stock will rebuild within a given timeframe under a particular management regime.
,Rebuilding plan,A document that describes policy measures that will be used to rebuild a fish stock that has been declared overfished.
RecFin,Recreational Fishery Information Network,"A database managed by the Pacific States Marine Fisheries Commission that provides recreational fishery information for Washington, Oregon, and California."
,Recruits,"Recruits are a group (""cohort"") of young fish that enter a fish stock in one year."
,Recruits/recruitment,The estimated production of new members to a fish population as measured at a specific life stage.
,,
,,
RER,Recovery Exploitation Rates,
RF,Rockfish,
RFA,Regulatory Flexibility Analysis (or Act),Regulatory Flexibility Act. The Regulatory Flexibility Act (5 U.S.C. 601-612) requires federal agencies to consider the effects of their regulatory actions on small businesses and other small entities and to minimize any undue disproportionate burden.
RFMO,Regional Fishery Management Organizations,
