"","source","Acronym","Meaning","Definition","meaning_lower","n","duplicated_ac","duplicated_mean"
"37","ASMFC","AP","Advisory Panel","A group of interested and knowledgeable persons (generally recreational and commercial fishermen) convened under the ASMFC's Advisory Committee Charter to assist in development of an FMP or amendment.","advisory panel",2,"Y","Y"
"38","GMFMC","AP","Advisory Panel","panel of members made up of individuals with knowledge and first-hand experience of harvesting Gulf of Mexico managed species and are interested in the conservation and best practices for management of these fishery resources","advisory panel",2,"Y","Y"
"39","GMFMC","APA","Administrative Procedure Act","the governing process by which federal agencies develop and issue regulations. This process includes publishing in the Federal Register and the ability for the public to comment on proposed regulations","administrative procedure act",NA,NA,NA
"40","GMFMC","APAIS","Access Point Angler Intercept Survey","the dockside intercept portion of the federal recreational angler survey commonly known as MRIP","access point angler intercept survey",NA,NA,NA
"41","NEFMC","AR","Autoregressive","An autoregressive model specifies that the output variable depends linearly on its own previous value(s) and a stochastic term","autoregressive",NA,NA,NA
"42","ASMFC","ARM","Adaptive Resource Management Framework","A mechanism, established through Addendum VII to the Horseshoe Crab FMP, which incorporates both shorebird and horseshoe crab abundance levels to set optimized harvest levels for horseshoe crabs of Delaware Bay origin.","adaptive resource management framework",NA,NA,NA
"43","WPFMC","AS","American Samoa","Includes the islands of Tutuila, Manua, Rose and Swains Atolls","american samoa",NA,NA,NA
"44","GMFMC","ASAP","age-structured assessment program","an age-structured stock assessment model that uses various components to estimate population sizes based on observed catches, catch-at-age and indices of abundance","age-structured assessment program",NA,NA,NA
"45","ASMFC","ASC","Assessment Science Committee","An ASMFC committee that coordinates the scheduling of species-specific stock assessments and assists the ISFMP Policy Board in setting priorities and timelines in relation to current workloads.","assessment science committee",NA,NA,NA
"46",NA,"ASG","American Samoa Government",NA,"american samoa government",NA,NA,NA
"47","ASMFC","ASMFC","Atlantic States Marine Fisheries Commission","An interstate compact of the 15 Atlantic coastal states with the vision of ""Sustainably managing Atlantic Coastal Fisheries""","atlantic states marine fisheries commission",2,"Y","Y"
"48","GMFMC","ASMFC","Atlantic States Marine Fisheries Commission","a commission comprising the Atlantic states formed to coordinate and manage fishery resources along the Atlantic coast","atlantic states marine fisheries commission",2,"Y","Y"
"49",NA,"ATM","Acoustic trawl method",NA,"acoustic trawl method",NA,NA,NA
"50",NA,"AVHRR","Advanced Very High Resolution Radiometer",NA,"advanced very high resolution radiometer",NA,NA,NA
"51","ASMFC","B","Biomass","The total weight of a stock of fish.","biomass",3,"Y",NA
"52","SAFMC","B","Biomass","In either weight or other appropriate unit","biomass",3,"Y",NA
"53","GMFMC","B","stock biomass level","the total weight or volume of a stock of fish; often used in conjunction with other management acronyms such as MSY","stock biomass level",3,"Y",NA
"54","GMFMC","B MAX","#VALUE!","#VALUE!","#value!",NA,NA,NA
"55","GMFMC","B MSY","Biomass at Max Sustainable Yield","stock biomass level capable of producing an equilibrium yield at maximum sustainable yield","biomass at max sustainable yield",NA,NA,NA
"56",NA,"B-CURR","Current biomass",NA,"current biomass",NA,NA,NA
"57",NA,"B-OY","Biomass at optimum yield",NA,"biomass at optimum yield",NA,NA,NA
"58",NA,"B1","Fish Filleted or Used for Bait but Identified by Interviewer",NA,"fish filleted or used for bait but identified by interviewer",NA,NA,NA
"59",NA,"B2","Fish Identified but Released Alive",NA,"fish identified but released alive",NA,NA,NA
"60","PFMC","B25%","25% of unfished biomass (size of fish stock without fishing)","For groundfish, this is the threshold for being designated as overfished.","25% of unfished biomass (size of fish stock without fishing)",NA,NA,NA
"61","PFMC","B40%","40% of unfished biomass (size of fish stock without fishing)","This is the Council's threshold for declaring a stock rebuilt, or the size of the stock estimated to produce maximum sustainable yield. This is also referred to as BMSY.","40% of unfished biomass (size of fish stock without fishing)",NA,NA,NA
"62","PFMC","BA","Biological assessment","An assessment conducted as part of the Endangered Species Act process.","biological assessment",NA,NA,NA
"63","SAFMC","BAM","Beaufort Assessment Model","Stock assessment model for South Atlantic","beaufort assessment model",NA,NA,NA
"64",NA,"BASIS","Bering Sea-Aleutian Salmon International Survey",NA,"bering sea-aleutian salmon international survey",NA,NA,NA
"65","GMFMC","BB","Briefing Book","the group of materials, including documents and presentations, prepared in advance of a Council meeting to provide background information on topics that will be discussed during the meeting","briefing book",NA,NA,NA
"66",NA,"BBRKC","Bristol Bay Red King Crab",NA,"bristol bay red king crab",NA,NA,NA
"67",NA,"BC","Budget Committee",NA,"budget committee",NA,NA,NA
"68",NA,"BCURRENT","Current Biomass of Stock",NA,"current biomass of stock",NA,NA,NA
"69",NA,"BDCP","Bay Delta Conservation Plan",NA,"bay delta conservation plan",NA,NA,NA
"70",NA,"BEG","Biological escapement goal",NA,"biological escapement goal",NA,NA,NA
"71",NA,"BET","Bigeye Tuna",NA,"bigeye tuna",NA,NA,NA
"72","WPFMC","BFLAG","Warning Reference Point","Set equal to BMSY","warning reference point",NA,NA,NA
"73",NA,"BKC","Blue King Crab",NA,"blue king crab",NA,NA,NA
"74","PFMC","BLM","Bureau of Land Management","Administers 261 million acres of public lands, mainly in the West.","bureau of land management",NA,NA,NA
"75","GMFMC","BM","base model","the assessment model used to perform an assessment of a stock to determine status and appropriate management measures; remains consistent with previous models used in SEDAR assessments; other supplemental analyses and models are often used in conjunction with the base model","base model",NA,NA,NA
"76",NA,"BOEM","Bureau of Ocean Energy Management",NA,"bureau of ocean energy management",NA,NA,NA
"77",NA,"BOF","Board of Fish",NA,"board of fish",NA,NA,NA
"78","PFMC","BOR","U.S. Bureau of Reclamation","Responsible for managing water distribution in the West.","u.s. bureau of reclamation",NA,NA,NA
"79","PFMC","BPA","Bonneville Power Administration","BPA markets electricity from 31 federally-owned dams in the Columbia River basin.","bonneville power administration",NA,NA,NA
"80","GMFMC","BRD","bycatch reduction device","a piece of equipment designed with the specific purpose of minimizing unintended capture of marine mammals","bycatch reduction device",2,"Y","Y"
"81","ASMFC","BRD","Bycatch reduction device","An opening in the shrimp trawl net that allows finfish or other accidentally captured aquatic animals to escape while the target species is directed towards the tail bag or cod end of the net.","bycatch reduction device",2,"Y","Y"
"82","ASMFC","BRP","Biological reference point","A particular value of stock size, catch, fishing effort, or fishing mortality that may be used as a measure of stock status or management plan effectiveness. BRP's can be categorized as limits, targets, or thresholds depending on their intended use.","biological reference point",2,"Y","Y"
"83","GMFMC","BRP","biological reference point","benchmarks against which actual status of a fish stock can be measured, usually maximum or target fishing mortality rates or minimum stock biomass levels","biological reference point",2,"Y","Y"
"84",NA,"BSAI","Bering Sea and Aleutian Islands",NA,"bering sea and aleutian islands",NA,NA,NA
"85",NA,"BSFRF","Bering Sea Fisheries Research Foundation",NA,"bering sea fisheries research foundation",NA,NA,NA
"86",NA,"BSIA","Best Scientific Information Available",NA,"best scientific information available",NA,NA,NA
"87",NA,"BSIERP","Bering Sea Integrated Ecosystem Research Program",NA,"bering sea integrated ecosystem research program",NA,NA,NA
"88",NA,"BTS","Bottom trawl survey",NA,"bottom trawl survey",NA,NA,NA
"89","GMFMC","BiOp","biological opinion","issued by various NOAA regional offices on a range of topics such as fisheries, dredging and offshore winds, these opinions essentially specify the conditions by which federal agencies must comply in order to minimize impacts from federal actions, usually for any actions that may affect ESA-listed species","biological opinion",2,"Y","Y"
"90","PFMC","BiOp","Biological opinion","A scientific assessment issued by the National Marine Fisheries Service or U.S. Fish and Wildlife Service, as required by the Endangered Species Act for listed species. Determines the likelihood of an action to jeopardize the existence of a species listed under the Endangered Species Act.","biological opinion",2,"Y","Y"
"91","PFMC","Bo (B sub zero)",NA,"Unfished biomass; the estimated size of a fish stock in the absence of fishing.",NA,NA,NA,NA
"92",NA,"Board","ASMFC Summer Flounder, Scup, and Black Sea Bass Board",NA,"asmfc summer flounder, scup, and black sea bass board",NA,NA,NA
"93",NA,"C","Average Catch",NA,"average catch",2,"Y",NA
"94",NA,"C","Recent Average Catch",NA,"recent average catch",2,"Y",NA
"95","PFMC","C&S","ceremonial and subsistence","A harvest category specific to native American tribes.","ceremonial and subsistence",NA,NA,NA
"96",NA,"CA","California",NA,"california",2,"Y",NA
"97",NA,"CA","Canada",NA,"canada",2,"Y",NA
"98",NA,"CAMS","Catch Accounting and Monitoring System",NA,"catch accounting and monitoring system",NA,NA,NA
"99",NA,"CAS","Catch Accounting System",NA,"catch accounting system",NA,NA,NA
"100",NA,"CBNMS","Cordell Bank National Marine Sanctuary",NA,"cordell bank national marine sanctuary",NA,NA,NA
"101",NA,"CC","Connecticut",NA,"connecticut",NA,NA,NA
"102","PFMC","CCA","Cowcod Conservation Area(s)","Two areas located in the Southern California Bight southwest of Santa Monica to the California/Mexico border that encompass roughly 4,300 square nautical miles of habitat where the highest densities of cowcod occur. These areas are closed to bottom fishing in order to rebuild the cowcod stock.","cowcod conservation area(s)",2,"Y",NA
"103",NA,"CCA","Crustose Coralline Algae",NA,"crustose coralline algae",2,"Y",NA
"104","GMFMC","CCC","Council Coordination Committee","committee made up of chairs, vice chairs, and regional directors of each regional fishery management council. The committee meets twice each year to discuss issues pertinent to all the councils","council coordination committee",NA,NA,NA
"105",NA,"CCCT","Ad Hoc Climate and Communities Core Team",NA,"ad hoc climate and communities core team",NA,NA,NA
"106",NA,"CCE","California Current Ecosystem",NA,"california current ecosystem",NA,NA,NA
"107",NA,"CCI","Climate and Commununities Initiative",NA,"climate and commununities initiative",NA,NA,NA
"108",NA,"CCIEA","California Current Integrated Ecosystem Assessment",NA,"california current integrated ecosystem assessment",NA,NA,NA
"109",NA,"CDF","cumulative distribution function",NA,"cumulative distribution function",NA,NA,NA
"110",NA,"CDFW","California Department of Fish and Wildlife (formerly CDFG, Fish and Game)",NA,"california department of fish and wildlife (formerly cdfg, fish and game)",NA,NA,NA
"111",NA,"CDQ","Community Development Quota",NA,"community development quota",NA,NA,NA
"112",NA,"CEA","Cumulative Effects Analysis",NA,"cumulative effects analysis",NA,NA,NA
"113",NA,"CEC","Community Engagement Committee",NA,"community engagement committee",NA,NA,NA
"114","GMFMC","CEQ","Council on Environmental Quality","a division of the Executive Branch that coordinates federal environmental efforts and oversees NEPA implementation","council on environmental quality",NA,NA,NA
"115",NA,"CEQA","California Environmental Quality Act",NA,"california environmental quality act",NA,NA,NA
"116","ASMFC","CESS","Committee on Economics and Social Sciences","An ASMFC committee focusing on social and economic considerations in fisheries management.","committee on economics and social sciences",NA,NA,NA
"117",NA,"CFA","Community fishing association",NA,"community fishing association",NA,NA,NA
"118",NA,"CFDBS","Commercial Fisheries Data Base System",NA,"commercial fisheries data base system",NA,NA,NA
"119",NA,"CFEAI","Commercial Fishing Economic Assessment Index",NA,"commercial fishing economic assessment index",NA,NA,NA
"120",NA,"CFL","Coastal Fisheries Logbook",NA,"coastal fisheries logbook",NA,NA,NA
"121",NA,"CFLP","Commercial Fisheries Logbook Program",NA,"commercial fisheries logbook program",NA,NA,NA
"122","GMFMC","CFMC","Caribbean Fishery Management Council","one of eight regional councils, responsible for managing fishery resources in the Caribbean Exclusive Economic Zone off Puerto Rico and the U.S. Virgin Islands","caribbean fishery management council",NA,NA,NA
"123","GMFMC","CFR","Code of Federal Regulations","the codification of the general and permanent rules published in the Federal Register","code of federal regulations",2,"Y","Y"
"124","PFMC","CFR","Code of Federal Regulations","A codification of the regulations published in the Federal Register by the executive departments and agencies of the federal government. The CFR is divided into 50 titles that represent broad areas subject to federal regulation. Title 50 contains wildlife and fisheries regulations.","code of federal regulations",2,"Y","Y"
"125",NA,"CGOA","Central Gulf of Alaska",NA,"central gulf of alaska",NA,NA,NA
"126",NA,"CH","Critical Habitat",NA,"critical habitat",NA,NA,NA
"127",NA,"CHAPC","Coral Habitat Area of Particular Concern",NA,"coral habitat area of particular concern",NA,NA,NA
"128","GMFMC","CHTS","Coastal Household Telephone Survey","survey used to collect recreational fishing effort information through random-digit dialing of residential households. Replaced by the FES survey in 2018.","coastal household telephone survey",NA,NA,NA
"129","GMFMC","CI","confidence interval","upper and lower limits that bound a plausible range of values or a specified probability that a parameter value lies within this range","confidence interval",NA,NA,NA
"130",NA,"CIE","Center for Independent Experts",NA,"center for independent experts",NA,NA,NA
"131","PFMC","CINMS","Channel Islands National Marine Sanctuary","A 1,252-square-nautical-mile area of the Santa Barbara Channel designated as a marine sanctuary in 1980. It encompasses an area out to six nautical miles around the islands of San Miguel, Santa Rosa, Santa Cruz, Anacapa, and Santa Barbara. CINMS is one of 13 National Marine Sanctuaries around the country.","channel islands national marine sanctuary",NA,NA,NA
"132",NA,"CITES","Convention of International Trade in Endangered Species",NA,"convention of international trade in endangered species",NA,NA,NA
"133",NA,"CJFAS","Canadian Journal of Fisheries and Aquatic Sciences",NA,"canadian journal of fisheries and aquatic sciences",NA,NA,NA
"134",NA,"CLF","Conservation Law Foundation",NA,"conservation law foundation",NA,NA,NA
"135",NA,"CLM","commercial landings monitoring",NA,"commercial landings monitoring",NA,NA,NA
"136",NA,"CM","continuity model",NA,"continuity model",NA,NA,NA
"137",NA,"CML","Commercial Marine License data",NA,"commercial marine license data",NA,NA,NA
"138",NA,"CMM","Conservation and Management Measures",NA,"conservation and management measures",NA,NA,NA
"139",NA,"CMP","coastal migratory pelagics",NA,"coastal migratory pelagics",NA,NA,NA
"140","WPFMC","CNMI","Commonwealth of the Northern Mariana Islands","Includes the islands of Saipan, Tinian, Rota, and many others in the Marianas Archipelago","commonwealth of the northern mariana islands",NA,NA,NA
"141",NA,"CO2","Carbon Dioxide",NA,"carbon dioxide",NA,NA,NA
"142",NA,"COAR","Commercial Operators Annual Report",NA,"commercial operators annual report",NA,NA,NA
"143",NA,"COBLZ","C. opilio Bycatch Limitation Zone",NA,"c. opilio bycatch limitation zone",NA,NA,NA
"144","PFMC","ACOE","(U.S. Army) Corps of Engineers","Among other things, the COE manages hydropower facilities, conducts dredging operations, and builds breakwaters and jetties.","(u.s. army) corps of engineers",NA,NA,NA
"145",NA,"COI","certificate of inspection",NA,"certificate of inspection",NA,NA,NA
"146",NA,"COP","Council Operating Procedures",NA,"council operating procedures",NA,NA,NA
"147",NA,"CP","Catcher/processor",NA,"catcher/processor",NA,NA,NA
"148",NA,"CPC","Climate Prediction Center, NOAA",NA,"climate prediction center, noaa",NA,NA,NA
"149",NA,"CPDF","Catch-Per-Day-Fished",NA,"catch-per-day-fished",NA,NA,NA
"150","PFMC","CPFV","Commercial passenger fishing vessel","(Charter boat)","commercial passenger fishing vessel",NA,NA,NA
"151",NA,"CPI","Consumer Price Index",NA,"consumer price index",NA,NA,NA
"152","PFMC","CPS","coastal pelagic species","Coastal pelagic species are schooling fish, not associated with the ocean bottom, that migrate in coastal waters. They usually eat plankton and are the main food source for higher level predators such as tuna, salmon, most groundfish, and humans. Examples are herring, squid, anchovy, sardine, and mackerel.","coastal pelagic species",NA,NA,NA
"153",NA,"CPSAS","Coastal Pelagic Species Advisory Subpanel",NA,"coastal pelagic species advisory subpanel",NA,NA,NA
"154",NA,"CPSMT","Coastal Pelagic Species Management Team",NA,"coastal pelagic species management team",NA,NA,NA
"155","PFMC","CPUE","catch per unit of effort","The quantity of fish caught (in number or weight) with one standard unit of fishing effort. For example, the number of fish taken per 1,000 hooks per day, or the weight of fish, in tons, taken per hour of trawling. CPUE is often considered an index of fish biomass (or abundance). Sometimes referred to as catch rate. CPUE may be used as a measure of economic efficiency of fishing as well as an index of fish abundance.","catch per unit of effort",3,"Y",NA
"156","ASMFC","CPUE","Catch-per-unit-effort","The number or weight of fish caught by a given amount of fishing effort, measured frequently by time, gear type, horsepower, etc.","catch-per-unit-effort",3,"Y",NA
"157","WPFMC","CPUE","Catch-Per-Unit-Effort","A standard fisheries index usually expressed as numbers of fish caught per unit of gear per unit of time, e.g., number of fish per hook per line-hour or number of fish per 1,000 hooks","catch-per-unit-effort",3,"Y",NA
"158",NA,"CQE","Community Quota Entity",NA,"community quota entity",NA,NA,NA
"159",NA,"CR","Columbia River",NA,"columbia river",NA,NA,NA
"160","PFMC","CRCA","California Rockfish Conservation Area","The California Rockfish Conservation Area (CRCA) is defined as (1) ocean waters 20 fm to 250 fm between Cape Mendocino and Point Reyes and 20 fm to 150 fm between Point Reyes and the U.S./Mexico Border, and (2) the Cowcod Conservation Areas. The purpose of the CRCA is to regulate all gear types that have a potentially significant affect on rebuilding of overfished rockfish species south of Cape Mendocino.","california rockfish conservation area",NA,NA,NA
"161",NA,"CRD","Center Reference Document",NA,"center reference document",NA,NA,NA
"162",NA,"CRITFC","Columbia River Inter-Tribal Fish Commission",NA,"columbia river inter-tribal fish commission",NA,NA,NA
"163",NA,"CS","Consumer surplus",NA,"consumer surplus",NA,NA,NA
"164",NA,"CSE","Council of Science Editors",NA,"council of science editors",NA,NA,NA
"165",NA,"CSP","Halibut Catch Sharing Plan",NA,"halibut catch sharing plan",NA,NA,NA
"166",NA,"CT LISTS","Connecticut Long Island Sound Trawl Survey",NA,"connecticut long island sound trawl survey",NA,NA,NA
"167",NA,"CV","Catcher vessel",NA,"catcher vessel",2,"Y",NA
"168",NA,"CV","coefficient of variation",NA,"coefficient of variation",2,"Y",NA
"169",NA,"CVOA","Catcher vessel operational area",NA,"catcher vessel operational area",NA,NA,NA
"170",NA,"CVPIA","Central Valley Project Improvement Act",NA,"central valley project improvement act",NA,NA,NA
"171","PFMC","CWT","coded-wire tag","Coded-wire tags are small pieces of stainless steel wire that are injected into the snouts of juvenile salmon and steelhead. Each tag is etched with a binary code that identifies its release group.","coded-wire tag",NA,NA,NA
"172",NA,"CY","Calendar Year",NA,"calendar year",NA,NA,NA
"173","PFMC","CZMA","Coastal Zone Management Act","The main objective of the CZMA is to encourage and assist states in developing coastal zone management programs, to coordinate state activities, and to safeguard the regional and national interests in the coastal zone. It requires that any federal activity (including fishery management regulations) directly affecting the coastal zone of a state be consistent with that state's approved coastal zone management program, since activities that take place beyond the territorial sea may affect the coastal zone.","coastal zone management act",NA,NA,NA
"174",NA,"CalCOFI","California Cooperative Oceanic Fisheries Investigations",NA,"california cooperative oceanic fisheries investigations",NA,NA,NA
"175",NA,"Council","Gulf of Mexico Fishery Management Council",NA,"gulf of mexico fishery management council",4,"Y",NA
"176",NA,"Council","Mid-Atlantic Fishery Management Council (MAFMC)",NA,"mid-atlantic fishery management council (mafmc)",4,"Y",NA
"177",NA,"Council","North Pacific Fishery Management Council",NA,"north pacific fishery management council",4,"Y",NA
"178",NA,"Council","Pacific Fishery Management Council",NA,"pacific fishery management council",4,"Y",NA
"179",NA,"Covid","refers to coronavirus pandemic years",NA,"refers to coronavirus pandemic years",NA,NA,NA
"180",NA,"DAS","Days-At-Sea",NA,"days-at-sea",NA,NA,NA
"181",NA,"DAWR","Division of Aquatic and Wildlife Resources, Guam",NA,"division of aquatic and wildlife resources, guam",NA,NA,NA
"182",NA,"DEA","Draft Environmental Assessment",NA,"draft environmental assessment",NA,NA,NA
"183",NA,"DEIS","Draft Environmental Impact Statement",NA,"draft environmental impact statement",NA,NA,NA
"184",NA,"DFO","(Canada) Department of Fisheries and Oceans",NA,"(canada) department of fisheries and oceans",NA,NA,NA
"185",NA,"DFW","Department of Fish and Wildlife",NA,"department of fish and wildlife",NA,NA,NA
"186",NA,"DGN","Drift gillnet",NA,"drift gillnet",NA,NA,NA
"187",NA,"DIC","Dissolved Inorganic Carbon",NA,"dissolved inorganic carbon",NA,NA,NA
"188",NA,"DMF","Division of Marine Fisheries",NA,"division of marine fisheries",NA,NA,NA
"189",NA,"DMIS","Database",NA,"database",NA,NA,NA
"190",NA,"DMWR","Department of Marine and Wildlife Resources, American Samoa",NA,"department of marine and wildlife resources, american samoa",NA,NA,NA
"191","PFMC","DOC","Department of Commerce","Parent organization of the National Marine Fisheries Service.","department of commerce",NA,NA,NA
"192",NA,"DOD","Department of Defense",NA,"department of defense",NA,NA,NA
"193",NA,"DOI","Department of Interior",NA,"department of interior",NA,NA,NA
"194","PFMC","DOJ","Department of Justice","DOJ attorneys represent the Secretary of Commerce in litigation on fishery management plans.","department of justice",NA,NA,NA
"195",NA,"DOS","Department of State",NA,"department of state",NA,NA,NA
"196",NA,"DPNR","Department of Planning and Natural Resources of the USVI",NA,"department of planning and natural resources of the usvi",NA,NA,NA
"197","ASMFC","DPS","Distinct population segment","A population or group of populations that is discrete from other populations of the species and significant in relation to the entire species. The Endangered Species Act provides for listing species, subspecies, or distinct population segments of vertebrate species. Atlantic sturgeon is characterized as having 3 DPSs throughout its US Atlantic coast range.","distinct population segment",NA,NA,NA
"198",NA,"DQA","Data Quality Act",NA,"data quality act",NA,NA,NA
"199",NA,"DTL","Daily trip limit",NA,"daily trip limit",NA,NA,NA
"200",NA,"DTS","Dover sole, thornyhead, and trawl-caught sablefish complex",NA,"dover sole, thornyhead, and trawl-caught sablefish complex",NA,NA,NA
"201",NA,"DWFN","Distant Water Fishing Nation",NA,"distant water fishing nation",NA,NA,NA
"202",NA,"DWG","deep-water grouper",NA,"deep-water grouper",NA,NA,NA
"203",NA,"DWH","Deepwater Horizon",NA,"deepwater horizon",NA,NA,NA
"204",NA,"E-A","Euro-American",NA,"euro-american",NA,NA,NA
"205","PFMC","EA","environmental assessment","As part of the National Environmental Policy Act (NEPA) process, an EA is a concise public document that provides evidence and analysis for determining whether to prepare an environmental impact statement (EIS) or a Finding of No Significant Impact.","environmental assessment",NA,NA,NA
"206",NA,"EAM","Ecosystem approach to management",NA,"ecosystem approach to management",NA,NA,NA
"207",NA,"EAS","Ecosystem Advisory Subpanel",NA,"ecosystem advisory subpanel",NA,NA,NA
"208",NA,"EBFM","Ecosystem Based Fisheries Management",NA,"ecosystem based fisheries management",NA,NA,NA
"209",NA,"EBM","Ecosystem-based management",NA,"ecosystem-based management",NA,NA,NA
"210",NA,"EC","ecosystem component species",NA,"ecosystem component species",2,"Y",NA
"211",NA,"EC","Enforcement Consultants, or ecosystem component.",NA,"enforcement consultants, or ecosystem component.",2,"Y",NA
"212",NA,"ECO","Ecosystem Committee",NA,"ecosystem committee",NA,NA,NA
"213",NA,"ED","Executive Director",NA,"executive director",NA,NA,NA
"214",NA,"EDF","Environmental Defense Fund",NA,"environmental defense fund",NA,NA,NA
"215",NA,"EDR","Economic Data Reporting",NA,"economic data reporting",NA,NA,NA
"216",NA,"EEJ","Equity and environmental justice",NA,"equity and environmental justice",NA,NA,NA
"217","ASMFC","EEZ","Exclusive Economic Zone","U.S. federal waters that extend from 3 to 200 miles from shore. The U.S. has sole management authority of the natural resources found therein.","exclusive economic zone",3,"Y","Y"
"218","PFMC","EEZ","Exclusive Economic Zone","A zone under national jurisdiction (up to 200 nautical miles wide) declared in line with the provisions of the 1982 United Nations Convention of the Law of the Sea, within which the coastal State has the right to explore and exploit, and the responsibility to conserve and manage, the living and non-living resources.","exclusive economic zone",3,"Y","Y"
"219","WPFMC","EEZ","Exclusive Economic Zone","Waters of a nation, recognized internationally under the United Nations Convention on the Law of the Sea as extending 200 nautical miles from shore. Within the U.S., the EEZ is typically between three and 200 nautical miles from shore","exclusive economic zone",3,"Y","Y"
"220",NA,"EF","Expansion Factor",NA,"expansion factor",NA,NA,NA
