Acronym,Meaning,Definition
ASAP,Age-Structured Assessment Program,
ASMFC,Atlantic States Marine Fisheries Commission,
BH,Beverton--Holt (model for stock-recruitment),
BRP,biological reference point,
BSB,black sea bass,
BSIA,Best Scientific Information Available,
BTS,bottom trawl survey,
CDF,cumulative distribution function,
CI,confidence interval,
CIE,Center for Independent Experts,
Conf.,confidence,
CPUE,catch per unit effort,
CV,coefficient of variation,
DFO,"Department of Fisheries and Oceans, Canadian",
EFPs,Exempted Fishing permits,
EM,Electronic Monitoring,
FMP,fishery management plan,
ICES,International Council for the Exploration of the Sea,
ISO,International Standardization Organization,
MADMF,Massachusetts Division of Marine Fisheries,
MAFMC,Mid-Atlantic Fisheries Management Council,
MCMC,Markov Chain Monte Carlo analysis,
MEDMR,Maine Department of Marine Resources,
MRIP,Marine Recreational Information Program,
MT,Management Track,
mt,metric ton,
NAFO,Northwest Atlantic Fisheries Organization,
NEAMAP,Northeast Area Monitoring and Assessment Program,
NEFMC,New England Fisheries Management Council,
NEFOP,Northeast Fishery Observer Program,
NEFSC,Northeast Fisheries Science Centre,
NJDEP,New Jersey Department of Environmental Protection,
NMFS,National Marine Fisheries Service,
nm,nautical mile,
NOAA,National Oceanographic and Atmospheric Administration,
NRCC,Northeast Regional Coordinating Council,
NTAP,Northeast Trawl Advisory Panel,
NYDEC,New York Department of Environmental Conservation,
OFL,overfishing limit,
PDF,Portable Document Format,
PDT,Plan Development Team,
PRP,Peer Review Panel,
QA/QC,quality assurance and quality control,
RIDEM,Rhode Island Department of Environmental Management,
RT,Research Track,
RTA,Research Track Assessment,
SA,Subarea (NAFO),
SARC,Stock Assessment Review Committee,
SAS,Statistical Analysis Software application,
SAW,Stock Assessment Workshop,
SPR,spawning potential ratio,
SSC,Scientific and Statistical Committee,
TAC,total allowable catch,
TOR,Term of Reference,
USFWS,US Fish and Wildlife Service,
VIMS,Virginia Institute of Marine Science,
VPA,virtual population analysis,
VTR,Vessel Trip Report,
YoY,young of the year or age 0,
YPR,Yield Per Recruit,
