All,Acronym,Meaning,Definition
"SA Subarea as specified by NAFO 61, 63",SA,Subarea as specified by NAFO,
SPR spawning potential ratio 38,SPR,spawning potential ratio,
"SSB spawning stock biomass 1, 2, 5, 22, 23, 31–36, 39, 45, 47, 50, 55, 62",SSB,spawning stock biomass,
"SSBMSY spawning stock biomass consistent with maximum sustainable yield 13, 31, 34, 36, 37, 46, 50, 55",SSBMSY,spawning stock biomass consistent with maximum sustainable yield,
"SSBMSY proxy proxy value for spawning stock biomass estimation for maximum sustainable yield 22,",SSBMSY proxy,proxy value for spawning stock biomass estimation for maximum sustainable yield,
"SSBproxy proxy value for spawning stock biomass estimate 1, 50, 54",SSBproxy,proxy value for spawning stock biomass estimate,
"SSBTarget theoretically ideal spawning stock biomass level 25, 39, 56",SSBTarget,theoretically ideal spawning stock biomass level,
"SSBThreshold threshold for spawning stock biomass that indicates overfished status 25, 31, 39, 56",SSBThreshold,threshold for spawning stock biomass that indicates overfished status,
SURVEYMEANS SAS procedure for estimating characteristics of a survey population using statistics computed from a survey sample. 24,SURVEYMEANS,SAS procedure for estimating characteristics of a survey population using statistics computed from a survey sample,
TAC total allowable catch 63,TAC,total allowable catch,
"VPA virtual population analysis 11, 13, 34",VPA,virtual population analysis,
"YoY young of the year or age 0 24, 30, 44",YoY,young of the year or age,
,,,
,,,
CA Canada ix,CA,Canada,
CC Connecticut ix,CC,Connecticut,
"GB Georges Bank ix, 36",GB,Georges Bank,
"GOM Gulf of Maine ix, 36, 37",GOM,Gulf of Maine,
"MA Massachusetts III, v, vi, ix, 39, 65",MA,Massachusetts,
MAB Mid-Atlantic Bight ix,MAB,Mid-Atlantic Bight,
MD Maryland 1,MD,Maryland,
"ME Maine ix, 16",ME,Maine,
NC North Carolina 8,NC,North Carolina,
NH New Hampshire ix,NH,New Hampshire,
"NJ New Jersey ix, 1, 44",NJ,New Jersey,
"NY New York ix, 1",NY,New York,
RI Rhode Island ix,RI,Rhode Island,
SNE Southern New England ix,SNE,Southern New England,
"SNEMA Southern New England and Mid-Atlantic Bight 2, 9, 11, 13, 34, 36, 37",SNEMA,Southern New England and Mid-Atlantic Bight,
"US United States 39, 45, 46, 48, 50, 55, 59",US,United States,
VA Virginia 1,VA,Virginia,
VT Vermont,VT,Vermont,
