"","Acronym","Meaning","Definition"
"134","CPSAS","Coastal Pelagic Species Advisory Subpanel",NA
"135","CPSMT","Coastal Pelagic Species Management Team",NA
"136","CPUE","catch per unit of effort","The quantity of fish caught (in number or weight) with one standard unit of fishing effort. For example, the number of fish taken per 1,000 hooks per day, or the weight of fish, in tons, taken per hour of trawling. CPUE is often considered an index of fish biomass (or abundance). Sometimes referred to as catch rate. CPUE may be used as a measure of economic efficiency of fishing as well as an index of fish abundance."
"137","CQE","Community Quota Entity",NA
"138","CR","Columbia River",NA
"139","CRCA","California Rockfish Conservation Area","The California Rockfish Conservation Area (CRCA) is defined as (1) ocean waters 20 fm to 250 fm between Cape Mendocino and Point Reyes and 20 fm to 150 fm between Point Reyes and the U.S./Mexico Border, and (2) the Cowcod Conservation Areas. The purpose of the CRCA is to regulate all gear types that have a potentially significant affect on rebuilding of overfished rockfish species south of Cape Mendocino."
"140","CRD","Center Reference Document",NA
"141","CRITFC","Columbia River Inter-Tribal Fish Commission",NA
"142","CS","Consumer surplus",NA
"143","CSE","Council of Science Editors",NA
"144","CSP","Halibut Catch Sharing Plan",NA
"145","CT LISTS","Connecticut Long Island Sound Trawl Survey",NA
"146","CV","coefficient of variation",NA
"147","CVOA","Catcher vessel operational area",NA
"148","CVPIA","Central Valley Project Improvement Act",NA
"149","CWT","coded-wire tag","Coded-wire tags are small pieces of stainless steel wire that are injected into the snouts of juvenile salmon and steelhead. Each tag is etched with a binary code that identifies its release group."
"150","CY","Calendar Year",NA
"151","CZMA","Coastal Zone Management Act","The main objective of the CZMA is to encourage and assist states in developing coastal zone management programs, to coordinate state activities, and to safeguard the regional and national interests in the coastal zone. It requires that any federal activity (including fishery management regulations) directly affecting the coastal zone of a state be consistent with that state's approved coastal zone management program, since activities that take place beyond the territorial sea may affect the coastal zone."
"152","CalCOFI","California Cooperative Oceanic Fisheries Investigations",NA
"153","Covid","refers to coronavirus pandemic years",NA
"154","DAS","Days-At-Sea",NA
"155","DAWR","Division of Aquatic and Wildlife Resources, Guam",NA
"156","DEA","Draft Environmental Assessment",NA
"157","DEIS","Draft Environmental Impact Statement",NA
"158","DFO","(Canada) Department of Fisheries and Oceans",NA
"159","DFW","Department of Fish and Wildlife",NA
"160","DGN","Drift gillnet",NA
"161","DIC","Dissolved Inorganic Carbon",NA
"162","DMF","Division of Marine Fisheries",NA
"163","DMIS","Database",NA
"164","DMWR","Department of Marine and Wildlife Resources, American Samoa",NA
"165","DOC","Department of Commerce","Parent organization of the National Marine Fisheries Service."
"166","DOD","Department of Defense",NA
"167","DOI","Department of Interior",NA
"168","DOJ","Department of Justice","DOJ attorneys represent the Secretary of Commerce in litigation on fishery management plans."
"169","DOS","Department of State",NA
"170","DPNR","Department of Planning and Natural Resources of the USVI",NA
"171","DPS","Distinct population segment","A population or group of populations that is discrete from other populations of the species and significant in relation to the entire species. The Endangered Species Act provides for listing species, subspecies, or distinct population segments of vertebrate species. Atlantic sturgeon is characterized as having 3 DPSs throughout its US Atlantic coast range."
"172","DQA","Data Quality Act",NA
"173","DTL","Daily trip limit",NA
"174","DTS","Dover sole, thornyhead, and trawl-caught sablefish complex",NA
"175","DWFN","Distant Water Fishing Nation",NA
"176","DWG","deep-water grouper",NA
"177","DWH","Deepwater Horizon",NA
"178","E-A","Euro-American",NA
"179","EA","environmental assessment","As part of the National Environmental Policy Act (NEPA) process, an EA is a concise public document that provides evidence and analysis for determining whether to prepare an environmental impact statement (EIS) or a Finding of No Significant Impact."
"180","EAM","Ecosystem approach to management",NA
"181","EAS","Ecosystem Advisory Subpanel",NA
"182","EBFM","Ecosystem Based Fisheries Management",NA
"183","EBM","Ecosystem-based management",NA
"184","EC","Ecosystem component",NA
"185","ECO","Ecosystem Committee",NA
"186","ED","Executive Director",NA
"187","EDF","Environmental Defense Fund",NA
"188","EDR","Economic Data Reporting",NA
"189","EEJ","Equity and environmental justice",NA
"190","EEZ","Exclusive Economic Zone","An area of the ocean, generally extending 200 nautical miles (230 miles) beyond a nation's territorial sea, within which a coastal nation has jurisdiction over both living and nonliving resources."
"191","EF","Expansion Factor",NA
"192","EFH","essential fish habitat","Those waters and substrate necessary to fish for spawning, breeding, feeding or growth to maturity."
"193","EFH-HAPC","Essential Fish Habitat- Habitat Area of Particular Concern",NA
"194","EFHCA","Essential fish habitat conservation area",NA
"195","EFHRC","Essential Fish Habitat Review Committee",NA
"196","EFIN","Economic Fishery Information Network","Administered by the Pacific States Marine Fisheries Commission."
"197","EFMP","Ecosystem Fishery Management Plan",NA
"198","EFP","exempted fishing permit","A permit issued by National Marine Fisheries Service that allows exemptions from some regulations in order to study the effectiveness, bycatch rate, or other aspects of an experimental fishing gear. Previously known as an ""experimental fishing permit."""
"199","EIR","Environmental impact review",NA
"200","EIS","Environmental impact statement","As part of the National Environmental Policy Act (NEPA) process, an EIS is an analysis of the expected impacts resulting from the implementation of a fisheries management or development plan (or some other proposed action) on the environment. EISs are required for all fishery management plans as well as significant amendments to existing plans. The purpose of an EIS is to ensure the fishery management plan gives appropriate consideration to environmental values in order to prevent harm to the environment."
"201","EJ","environmental justice",NA
"202","ELAPS","Effort Limit Area for Purse Seine",NA
"203","ELB","electronic logbook",NA
"204","ELMR","Estuarine Living Marine Resources",NA
"205","EM","Electronic monitoring",NA
"206","EMC","Electronic Monitoring Committee",NA
"207","ENSO","El Niño Southern Oscillation","Abnormally warm ocean climate conditions, which in some years affect the eastern coast of Latin America (centered on Peru) often around Christmas time. The anomaly is accompanied by dramatic changes in species abundance and distribution, higher local rainfall and flooding, and massive deaths of fish and their predators. Many other climactic anomalies around the world are attributed to consequences of El Nino."
"208","EO","Executive Order",NA
"209","EPA","Environmental Protection Agency",NA
"210","EPDT","Ecosystem Plan Development Team",NA
"211","EPO","Eastern Pacific Ocean",NA
"212","EPR","Eggs per recruit","The expected egg production from a female in her lifetime, usually expressed as a percentage of the egg production that would otherwise occur in an unfished stock."
"213","ER","ecological reserve",NA
"214","ESA","Endangered Species Act","An act of Federal law that provides for the conservation of endangered and threatened species of fish, wildlife, and plants. When preparing fishery management plans, councils are required to consult with the National Marine Fisheries Service and the U.S. Fish and Wildlife Service to determine whether the fishing under a fishery management plan is likely to jeopardize the continued existence of an ESA-listed species or to result in harm to its critical habitat."
"215","ESD","Equivalent Spherical Diameter",NA
"216","ESP","Ecological and Socioeconomic Profile",NA
"217","ESRL","Earth System Research Laboratory, NOAA",NA
"218","ESU","evolutionarily significant unit","An Evolutionarily Significant Unit or ""ESU"" is a distinctive group of Pacific salmon, steelhead, or sea-run cutthroat trout that is uniquely adapted to a particular area or environment and cannot be replaced."
"219","EWG","Ecosystem Workgroup",NA
"220","F","Fishing mortality","The rate at which fish die due to fishing activities."
"221","F MAX","F MAX","fishing mortality rate corresponding to maximum yield-per-recruit"
"222","F-30% SPR","Fishing mortality at spawning potential ratio (SPR) = 30%",NA
"223","F-CURR","Current instantaneous rate of fishing mortality",NA
"224","F-MSY","The rate of fishing mortality expected to achieve MSY under equilibrium",NA
"225","F-OY","The rate of fishing mortality expected to achieve MSY under an equilibrium",NA
"226","F/V","Fishing vessel",NA
"227","F30% SPR","fishing mortality corresponding to 30% spawning potential ratio",NA
"228","F=0",NA,"No fishing."
"229","FAC","Fisheries Advisory Committee",NA
"230","FAD","Fish aggregating device","Artificial or natural floating objects placed on the ocean surface, often anchored to the bottom, to attract several schooling fish species underneath, thus increasing their catchability."
"231","FAO","Food & Agriculture Organization of the United Nations",NA
"232","FATE","Fisheries and the Environment",NA
"233","FCURR","Current Fishing Mortality Rate",NA
"234","FDA","Food and Drug Administration",NA
"235","FDM","Farallon de Medinilla, CNMI",NA
"236","FEIS","Final Environmental Impact Statement",NA
"237","FEP","Fishery Ecosystem Plan",NA
"238","FERC","Federal Energy Regulatory Commission","Regulates hydropower operations and offshore wave energy."
"239","FES","Fishing Effort Survey","Recreational fishing statistics"
"240","FGTWG","Fishing Gear Technology Work Group","An ASMFC committee focusing on fishing gear technology and bycatch reduction."
"241","FHS","for-hire-survey",NA
"242","FIN","Fisheries Information Network",NA
"243","FIS","Fishery Impact Statement",NA
"244","FKNMS","Florida Keys National Marine Sanctuary",NA
"245","FL","Fork length","A measurement used frequently for fish length when the tail has a fork shape. Projected straight distance between the tip of the fish and the fork of the tail."
"246","FLEC","Florida East Coast",NA
"247","FLL","Freezer longliner",NA
"248","FMA","AFSC Fisheries Monitoring and Analysis Division (aka the Observer Program)",NA
"249","FMAC","Fishery Monitoring Advisory Committee",NA
"250","FMC","Fishery management council","A fisheries management body established by the Magnuson-Stevens Act to manage fishery resources in designated regions of the United States. Membership varies in size depending on the number of states involved. There are eight regional Councils, including the Pacific Council."
"251","FMP","Fishery management plan","A plan, and its amendments, that contains measures for conserving and managing specific fisheries and fish stocks."
"252","FMSY","FMSY","fishing mortality rate corresponding to an equilibrium yield at maximum sustainable yield"
"253","FMSY",NA,"The fishing mortality rate that maximizes catch biomass in the long term."
"254","FMSY","Fishing Mortality at MSY",NA
"255","FMU","Fishery Management Unit",NA
"256","FOIA","Freedom of Information Act",NA
"257","FONSI","Finding of no significant impact","As part of the National Environmental Policy Act (NEPA) process, a finding of no significant impact (FONSI) is a document that explains why an action that is not otherwise excluded from the NEPA process, and for which an environmental impact statement (EIS) will not be prepared, will not have a significant effect on the human environment."
"258","FOY","FOY","fishing mortality rate corresponding to an equilibrium yield at optimum"
"259","FOY","Fishing Mortality Rate Yielding OY",NA
"260","FPR","Fishery performance reports",NA
"261","FR","Federal Register","The Federal Register is the official daily publication for Rules, Proposed Rules, and Notices of Federal agencies and organizations, as well as Executive Orders and other Presidential documents. Fisheries regulations are not considered final until they are published in the Federal Register."
"262","FR","Federal Regulations",NA
"263","FRAM","Fishery Regulation Assessment Model","Typically used for salmon."
"264","FRFA","Final Regulatory Flexibility Analysis",NA
"265","FTE","Full time employee",NA
"266","FWC","Florida Fish and Wildlife Conservation Commission",NA
"267","FWRI","Fish and Wildlife Research Institute","Integrates research activities with management efforts of other FWC divisions to provide information to protect, conserve and manage Florida's fish and wildlife resources"
"268","FWS","United States Fish and Wildlife Service","United States Fish and Wildlife Service"
"269","FX%",NA,"The rate of fishing mortality that will reduce female spawning biomass per recruit to x percent of its unfished level. F100% is zero, and F35% is a reasonable proxy for FMSY. (All figures after ""F"" should be subscript.)"
"270","Fm","Fathom","Six feet."
"271","GAC","Global Area Coverage",NA
"272","GAM","General Additive Models",NA
"273","GAO","General Accounting Office",NA
"274","GAP","Groundfish Advisory Subpanel","The Council established the GAP to obtain the input of the people most affected by, or interested in, the management of the groundfish fishery. This advisory body is made up of representatives with recreational, trawl, fixed gear, open access, tribal, environmental, and processor interests. Their advice is solicited when preparing fishery management plans, reviewing plans before sending them to the Secretary, reviewing the effectiveness of plans once they are in operation, and developing annual and inseason management."
"275","GARFO","Greater Atlantic Regional Fisheries Office",NA
"276","GARM","Groundfish Assessment Review Committee","The federal stock assessment review committee that evaluates groundfish assessements, such as winter flounder."
"277","GB","Georges Bank",NA
"278","GBK","Georges Bank","A region used to describe a population segment of the American lobster resource."
"279","GDP","Gross Domestic Product",NA
"280","GEMPAC","Ad Hoc Groundfish Electronic Monitoring Policy Advisory Committee",NA
"281","GEMTAC","Ad hoc Groundfish Electronic Monitoring Technical Advisory Committee",NA
"282","GESW","Groundfish Endangered Species Workgroup",NA
"283","GF","Groundfish",NA
"284","GFCA","Guam Fishermen's Cooperative Association",NA
"285","GFNMS","Gulf of the Farallones National Marine Sanctuary",NA
"286","GHL","Guideline Harvest Level",NA
"287","GIS","Geographic Information System",NA
"288","GKC","Golden King Crab",NA
"289","GLFC","Great Lakes Fishery Commission","Established in 1955 by the Canadian/U.S. Convention on Great Lakes Fisheries, the Commission coordinates fisheries research, controls the invasive sea lamprey, and facilitates cooperative fishery management among the state, provincial, tribal, and federal management agencies."
"290","GM","Genetically Modified",NA
"291","GMFMC","Gulf of Mexico Fishery Management Council",NA
"292","GMT","Groundfish Management Team","Groundfish management plans and annual and inseason management recommendations are prepared by the Council's GMT, which consists of scientists and managers with specific technical knowledge of the groundfish fishery."
"293","GNI","Gross National Income",NA
"294","GNP","Gross National Product",NA
"295","GOA","Gulf of Alaska",NA
"296","GODAS","Global Ocean Data Assimilation System",NA
"297","GOES","Geostationary Operational Environmental Satellites",NA
"298","GOM","Gulf of Maine","Used to describe population segments for both American lobster and winter flounder."
"299","GPS","global positioning system",NA
"300","GRFS","Gulf Reef Fish Survey","Florida's supplemental state survey for certain species of reef fish from 2015 to June of 2020. Replaced by SRFS"
"301","GRSC","Great Red Snapper Count",NA
"302","GRT","Gross Registered Tonnes",NA
"303","GSMFC","Gulf States Marine Fisheries Commission",NA
"304","Gulf","Gulf of Mexico",NA
"305","Gulf Council","Gulf of Mexico Fishery Management Council",NA
"306","GulfFIN","Gulf of Mexico Fisheries Information Network",NA
"307","HACCP","Hazard Analysis and Critical Control Points",NA
"308","HAPC","Habitat areas of particular concern","Subsets of essential fish habitat (see EFH) containing particularly sensitive or vulnerable habitats that serve an important ecological function, are particularly sensitive to human-induced environmental degradation, are particularly stressed by human development activities, or comprise a rare habitat type."
"309","HBS","Headboat Survey",NA
"310","HC","Habitat Committee","An ASMFC committee that provides advice on issues related to habitat, habitat management, habitat requirements by the managed species, enforceability of proposed habitat management measures."
"311","HCR","Harvest control rule",NA
"312","HDAR","Hawaii Division of Aquatic Resources",NA
"313","HG","Harvest guideline(s)","A numerical harvest level that is a general objective, but not a quota. Attainment of a harvest guideline does not require a management response, but it does prompt review of the fishery."
"314","HLF","Hawaii Longline Fishery",NA
"315","HMRFS","Hawaii Marine Recreational Fishing Survey",NA
"316","HMS","Highly migratory species","In the Council context, highly migratory species in the Pacific Ocean include species managed under the HMS Fishery Management Plan: tunas, sharks, billfish/swordfish, and dorado or dolphinfish."
"317","HMS FMP","Highly Migratory Species Fishery Management Plan","This is the fishery management plan (and its subsequent revisions) for the Washington, Oregon, and California Highly Migratory Species Fisheries developed by the PFMC and approved by the Secretary of Commerce."
"318","HMSAS","Highly Migratory Species Advisory Subpanel",NA
"319","HMSMT","Highly Migratory Species Management Team",NA
"320","HMSPDT","Highly Migratory Species Plan Development Team",NA
"321","HOT","Hawaii Ocean Time Series",NA
"322","HP","Horsepower",NA
"323","HSTT","Hawaii-Southern California Training and Testing",NA
"324","IA","interim analysis",NA
"325","IATTC","Inter-American Tropical Tuna Commission",NA
"326","IBA","Individual Bycatch Accounting",NA
"327","IBQ","Individual bycatch quota","IBQs are used to control the catch of prohibited species."
"328","ICA","Inter-cooperative Agreements",NA
"329","ICC","Intergovernmental Consultive Committee",NA
"330","ID","Identification",NA
"331","ID","Stock identification process",NA
"332","IDFG","Idaho Department of Fish and Game",NA
"333","IEA","Integrated Ecosystem Assessment",NA
"334","IFA","Interjurisdictional Fisheries Act","Federal legislation that provides funding to the three Interstate Fisheries Commissions to support management of interjurisdictional fishery resources."
"335","IFP","International Fisheries Program",NA
"336","IFQ","individual fishing quota",NA
"337","INPFC","International North Pacific Fishery Commission",NA
"338","IOOS","Integrated Ocean Observing System",NA
"339","IPA","Incentive Plan (Program) Agreements",NA
"340","IPCC","International Panel on Climate Change",NA
"341","IPHC","International Pacific Halibut Commission","A Commission responsible for studying Pacific halibut stocks and the halibut fishery. The IPHC makes proposals to the U.S. and Canada concerning the regulation of the halibut fishery."
"342","IPQ","Individual Processor Quotas",NA
"343","IPT","Interdisciplinary Plan Team",NA
"344","IQ","Individual quota",NA
"345","IQF","Individually quick frozen",NA
"346","IRFA","Initial Regulatory Flexibility Analysis",NA
"347","IRIU","Improved retention/improved utilization",NA
"348","ISC","International Scientific Committee",NA
"349","ISC","International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean",NA
"350","ISFMP","Interstate Fisheries Management Program","An ASMFC program dedicated to the development and maintenance of interstate fisheries management plans for 22 species groups."
"351","ISTC","Interstate Shellfish Transport Committee","An ASMFC committee, composed of shellfish technical representatives from each of the 15 states, District of Columbia, Potomac River Fisheries Commission, National Marine Fisheries Service, and U.S. Fish and Wildlife Service, that is tasked with evaluating issues related to the introduction of non-native shellfish to support new commercial fisheries in Atlantic coastal waters."
"352","ITC","Interstate Tagging Committee","An ASMFC committee that focuses on improving the quality and utility of data collected by scientific and angler- based tagging programs."
"353","ITCZ","Inter-Tropical Convergence Zone",NA
"354","ITQ","Individual transferable (or tradeable) quota","A type of quota (a part of a total allowable catch) allocated to individual fishermen or vessel owners and which can be transferred (sold, leased) to others."
"355","ITQ","Individual transferable quota",NA
"356","ITS","incidental take statement",NA
"357","IUCN","International Union for the Conservation of Nature",NA
"358","IUU","Illegal, unregulated, and unreported",NA
"359","Int","International landings",NA
"360","JAI","Juvenile abundance index","A measure of the relative abundance of juveniles in a stock that may serve as an indication of reproductive success. For some species, the JAI may predict future adult abundance."
"361","JAM","Jeopardy or adverse modification",NA
"362","K","time constant",NA
"363","K-A","Korean-American",NA
"364","KBRA","Klamath Basin Restoration Agreement",NA
"365","KMZ","Klamath management zone","Ocean zone between Humbug Mountain and Horse Mountain where management emphasis is on Klamath River fall Chinook."
"366","KRFC","Klamath River fall Chinook",NA
"367","L MAX","maximum length",NA
"368","LAA","Likely to adversely affect",NA
"369","LAMP","Local Area Management Plan",NA
"370","LAPP","limited access privilege program",NA
"371","LC","Legislative Committee",NA
"372","LCN","Lingcod - North",NA
"373","LCN","Lower Columbia natural",NA
"374","LCR","Lower Columbia River",NA
"375","LCS","Lingcod - South",NA
